Convergence Time,Raw Cost,Total Cost,Traffic Cost,Path,Number of Nodes,Number of Connections,Elevation_Function,Num_Nodes,Num_Connections
0.0033898353576660156,4.981831955341887,5.14251297838985,0.16068102304796272,"[1, 4, 6]",10,5,elevation_func_1,10.0,5.0
0.0035729408264160156,3.4761793916982313,4.056695043221334,0.5805156515231025,"[7, 5, 8, 9]",10,10,elevation_func_1,10.0,10.0
0.0033261775970458984,0.0,3.348146822300059,3.348146822300059,"[4, 7]",10,15,elevation_func_1,10.0,15.0
0.0035059452056884766,1.3089019830520536,5.381266149438774,4.072364166386721,"[2, 7, 5]",10,20,elevation_func_1,10.0,20.0
0.003486156463623047,0.2719384857904319,2.1053213479292356,1.8333828621388037,"[5, 3, 7]",10,25,elevation_func_1,10.0,25.0
0.002754688262939453,0.652363803141699,1.0686848252874415,0.4163210221457425,"[4, 8, 6]",10,30,elevation_func_1,10.0,30.0
0.0035429000854492188,0.4957724939254664,4.598385204350279,4.102612710424813,"[1, 6, 4]",10,35,elevation_func_1,10.0,35.0
0.004542112350463867,3.7299826929438,3.9009602443273206,0.170977551383521,"[3, 4, 2, 7]",10,40,elevation_func_1,10.0,40.0
0.0037670135498046875,0.9296373348982447,2.4407489098521076,1.5111115749538628,"[3, 5, 7, 6]",10,45,elevation_func_1,10.0,45.0
0.003628969192504883,0.0,2.624464852824664,2.624464852824664,"[0, 6]",10,50,elevation_func_1,10.0,50.0
0.015417814254760742,0.672626339548148,2.5503221403951426,1.8776958008469946,"[0, 14, 1]",20,5,elevation_func_1,20.0,5.0
0.006967782974243164,0.0,0.05848919168798816,0.05848919168798816,"[1, 18]",20,10,elevation_func_1,20.0,10.0
0.014856100082397461,1.4710249878854174,2.5010449174749425,1.0300199295895252,"[11, 8, 12]",20,15,elevation_func_1,20.0,15.0
0.014795064926147461,0.0,0.11091568214757985,0.11091568214757985,"[10, 11]",20,20,elevation_func_1,20.0,20.0
0.014689922332763672,2.892309005515667,3.054656061138484,0.16234705562281682,"[4, 19, 8]",20,25,elevation_func_1,20.0,25.0
0.015031814575195312,0.0,2.513227092629368,2.513227092629368,"[2, 7]",20,30,elevation_func_1,20.0,30.0
0.014814138412475586,0.17758838339366645,0.5247563486678564,0.3471679652741899,"[1, 15, 12]",20,35,elevation_func_1,20.0,35.0
0.01526188850402832,1.637372669246544,2.416486964965834,0.7791142957192898,"[4, 9, 7]",20,40,elevation_func_1,20.0,40.0
0.01457524299621582,2.6394084653918126,2.892263952109948,0.2528554867181354,"[6, 16, 10]",20,45,elevation_func_1,20.0,45.0
0.01459193229675293,1.8347126509149292,1.9033154055289114,0.06860275461398224,"[0, 17, 14]",20,50,elevation_func_1,20.0,50.0
0.03319215774536133,0.0,1.6063402756868261,1.6063402756868261,"[9, 13]",30,5,elevation_func_1,30.0,5.0
0.03434300422668457,1.6260450552140449,1.955076741554933,0.3290316863408882,"[14, 8, 17]",30,10,elevation_func_1,30.0,10.0
0.02868819236755371,0.0,0.5365752818601155,0.5365752818601155,"[15, 28]",30,15,elevation_func_1,30.0,15.0
0.033026695251464844,1.481374284422411,2.4475504332649622,0.9661761488425513,"[0, 5, 12, 17]",30,20,elevation_func_1,30.0,20.0
0.03256392478942871,0.0,0.3484990978450264,0.3484990978450264,"[1, 10]",30,25,elevation_func_1,30.0,25.0
0.03148698806762695,0.566315306847589,1.8239549260345334,1.2576396191869443,"[12, 15, 29, 16]",30,30,elevation_func_1,30.0,30.0
0.033737897872924805,0.2613203566883959,1.9020212501421896,1.6407008934537937,"[1, 6, 17, 20]",30,35,elevation_func_1,30.0,35.0
0.03251314163208008,2.24138435601043,3.7226930943187844,1.4813087383083545,"[6, 2, 19]",30,40,elevation_func_1,30.0,40.0
0.031113862991333008,0.24435163869686027,0.42251377119043587,0.1781621324935756,"[13, 22, 16]",30,45,elevation_func_1,30.0,45.0
0.029368877410888672,0.0,0.6357796285633743,0.6357796285633743,"[13, 20]",30,50,elevation_func_1,30.0,50.0
0.0561070442199707,0.0,1.4369637349596764,1.4369637349596764,"[21, 29]",40,5,elevation_func_1,40.0,5.0
0.06273198127746582,0.0,1.2437369475728277,1.2437369475728277,"[7, 22]",40,10,elevation_func_1,40.0,10.0
0.06009984016418457,1.3293689048675283,1.9759847438834877,0.6466158390159593,"[11, 8, 26]",40,15,elevation_func_1,40.0,15.0
0.05830717086791992,0.5779996364055986,4.07989127603996,3.501891639634361,"[2, 5, 11]",40,20,elevation_func_1,40.0,20.0
0.056687116622924805,0.4307745933882301,0.6356340323782517,0.20485943899002157,"[19, 8, 38]",40,25,elevation_func_1,40.0,25.0
0.05574178695678711,0.0,0.3219148078309553,0.3219148078309553,"[12, 17]",40,30,elevation_func_1,40.0,30.0
0.056603193283081055,0.0,2.292022256786498,2.292022256786498,"[16, 34]",40,35,elevation_func_1,40.0,35.0
0.05741000175476074,0.42716402718637303,0.5708676714809879,0.1437036442946149,"[2, 21, 18]",40,40,elevation_func_1,40.0,40.0
0.056038856506347656,1.081605738893319,2.281992892121102,1.2003871532277832,"[19, 9, 38]",40,45,elevation_func_1,40.0,45.0
0.05417609214782715,1.3756530771890163,3.9676791667540887,2.5920260895650724,"[12, 30, 24]",40,50,elevation_func_1,40.0,50.0
0.08639383316040039,0.7240293391570629,1.1516448907327492,0.4276155515756863,"[10, 41, 31]",50,5,elevation_func_1,50.0,5.0
0.09066605567932129,1.0195825417899218,1.1084999374826632,0.08891739569274137,"[24, 10, 42]",50,10,elevation_func_1,50.0,10.0
0.09092497825622559,0.0,0.31306111089703825,0.31306111089703825,"[15, 25]",50,15,elevation_func_1,50.0,15.0
0.085205078125,0.3013588332747752,0.6761731604363186,0.3748143271615434,"[8, 12, 24, 49]",50,20,elevation_func_1,50.0,20.0
0.08612871170043945,0.20777448954911626,0.5887219488868833,0.3809474593377671,"[27, 2, 33]",50,25,elevation_func_1,50.0,25.0
0.08588099479675293,1.2980541663332745,1.317205948110507,0.019151781777232424,"[25, 3, 0, 13, 45]",50,30,elevation_func_1,50.0,30.0
0.08567190170288086,0.16472216348950708,3.629210133301081,3.464487969811574,"[27, 23, 37]",50,35,elevation_func_1,50.0,35.0
0.09110069274902344,0.5274095180984473,0.7702006753270463,0.242791157228599,"[9, 44, 49]",50,40,elevation_func_1,50.0,40.0
0.09578204154968262,0.5085988261451913,0.968596909153262,0.45999808300807077,"[7, 46, 10, 30]",50,45,elevation_func_1,50.0,45.0
0.08772087097167969,0.20136654987464864,1.0532661992363435,0.8518996493616948,"[12, 16, 34]",50,50,elevation_func_1,50.0,50.0
0.12679004669189453,0.7362116488676873,1.1617358416343204,0.4255241927666331,"[26, 8, 4, 42]",60,5,elevation_func_1,60.0,5.0
0.12639832496643066,0.9934807926882385,2.130495313174116,1.1370145204858773,"[5, 42, 10]",60,10,elevation_func_1,60.0,10.0
0.1252763271331787,1.5253671084238982,2.53506353268787,1.0096964242639717,"[2, 1, 50]",60,15,elevation_func_1,60.0,15.0
0.12655997276306152,0.0,1.1644198549684281,1.1644198549684281,"[1, 3]",60,20,elevation_func_1,60.0,20.0
0.1286022663116455,0.1192246061651614,0.5441116052494532,0.42488699908429184,"[28, 58, 43]",60,25,elevation_func_1,60.0,25.0
0.12490701675415039,0.0,1.29907725174374,1.29907725174374,"[32, 51]",60,30,elevation_func_1,60.0,30.0
0.1290280818939209,0.37273059103741324,2.066495248498655,1.693764657461242,"[18, 14, 35]",60,35,elevation_func_1,60.0,35.0
0.13298726081848145,0.0,0.06266744642333344,0.06266744642333344,"[8, 9]",60,40,elevation_func_1,60.0,40.0
0.1281588077545166,0.6454257968335031,0.9980293692865161,0.352603572453013,"[18, 7, 43]",60,45,elevation_func_1,60.0,45.0
0.12706589698791504,0.0,2.907331392985979,2.907331392985979,"[14, 46]",60,50,elevation_func_1,60.0,50.0
0.16952085494995117,0.515395914191642,1.4204373054562758,0.9050413912646338,"[25, 39, 43]",70,5,elevation_func_1,70.0,5.0
0.17511391639709473,0.0,0.7817610201611269,0.7817610201611269,"[27, 64]",70,10,elevation_func_1,70.0,10.0
0.19866108894348145,1.2560109903000471,2.6673466784262123,1.4113356881261652,"[61, 51, 63]",70,15,elevation_func_1,70.0,15.0
0.19797205924987793,1.2494639647759709,1.579979976319702,0.3305160115437311,"[40, 51, 65]",70,20,elevation_func_1,70.0,20.0
0.19128918647766113,0.841193115573865,1.3488764546170107,0.5076833390431457,"[8, 63, 28]",70,25,elevation_func_1,70.0,25.0
0.1886591911315918,0.0,0.3221318663354078,0.3221318663354078,"[24, 46]",70,30,elevation_func_1,70.0,30.0
0.1910839080810547,0.0,0.8454986742960235,0.8454986742960235,"[2, 37]",70,35,elevation_func_1,70.0,35.0
0.18990015983581543,2.438360292268081,2.9316592910031356,0.49329899873505445,"[16, 33, 46, 51]",70,40,elevation_func_1,70.0,40.0
0.17919397354125977,0.4712895040970244,0.572440998182755,0.10115149408573054,"[11, 34, 68]",70,45,elevation_func_1,70.0,45.0
0.18561506271362305,0.4291163623832961,0.7158038399132216,0.2866874775299255,"[27, 64, 45, 51]",70,50,elevation_func_1,70.0,50.0
0.25182414054870605,0.14913891667971746,0.4614006877671495,0.312261771087432,"[44, 12, 46]",80,5,elevation_func_1,80.0,5.0
0.2460317611694336,0.07995758922951124,0.8546257746357422,0.774668185406231,"[1, 78, 34]",80,10,elevation_func_1,80.0,10.0
0.24213004112243652,0.6900765766073036,0.9425249555466164,0.2524483789393128,"[16, 72, 25, 73]",80,15,elevation_func_1,80.0,15.0
0.25130319595336914,0.9280595550094661,1.9976139958079442,1.069554440798478,"[12, 33, 54, 74]",80,20,elevation_func_1,80.0,20.0
0.2505521774291992,1.7907169537449195,3.7671765005449895,1.97645954680007,"[10, 17, 35]",80,25,elevation_func_1,80.0,25.0
0.2173750400543213,0.7190439901441725,0.978211591052286,0.2591676009081134,"[42, 48, 50]",80,30,elevation_func_1,80.0,30.0
0.24106693267822266,1.6493750854237943,2.972015256837781,1.3226401714139868,"[22, 24, 67]",80,35,elevation_func_1,80.0,35.0
0.25951409339904785,2.182463558042934,2.383873377108922,0.20140981906598854,"[22, 38, 29]",80,40,elevation_func_1,80.0,40.0
0.2601590156555176,0.0,2.826379335541933,2.826379335541933,"[27, 70]",80,45,elevation_func_1,80.0,45.0
0.24136996269226074,1.6255431024387523,1.8656407286887,0.24009762624994768,"[3, 24, 61, 52]",80,50,elevation_func_1,80.0,50.0
0.3654158115386963,0.2878452200828818,1.1203453866199875,0.8325001665371057,"[64, 21, 76]",90,5,elevation_func_1,90.0,5.0
0.382965087890625,0.005759532070822582,0.4377979515150343,0.43203841944421173,"[62, 34, 87]",90,10,elevation_func_1,90.0,10.0
0.3284108638763428,0.52052041921691,1.3637244838092144,0.8432040645923045,"[31, 82, 53]",90,15,elevation_func_1,90.0,15.0
0.3361780643463135,1.0003497992094623,1.8199711130020757,0.8196213137926134,"[9, 52, 49]",90,20,elevation_func_1,90.0,20.0
0.32185792922973633,0.2742065477077249,0.4982510752465452,0.22404452753882032,"[3, 89, 61, 77]",90,25,elevation_func_1,90.0,25.0
0.3001749515533447,0.0,1.969933443652565,1.969933443652565,"[15, 31]",90,30,elevation_func_1,90.0,30.0
0.32561397552490234,0.7446169407703829,0.8768272623219886,0.13221032155160573,"[32, 27, 64]",90,35,elevation_func_1,90.0,35.0
0.2995748519897461,0.8020838215186954,1.7080865583699867,0.9060027368512913,"[33, 83, 64]",90,40,elevation_func_1,90.0,40.0
0.3052990436553955,0.22921921313175497,0.6883544859853563,0.45913527285360134,"[70, 81, 88]",90,45,elevation_func_1,90.0,45.0
0.3343992233276367,1.145229300178574,1.1604442256275527,0.015214925448978622,"[5, 78, 56, 79, 24, 87]",90,50,elevation_func_1,90.0,50.0
0.41148900985717773,0.6915772363477646,0.8202120351883768,0.12863479884061224,"[66, 46, 11, 22, 92]",100,5,elevation_func_1,100.0,5.0
0.4040510654449463,0.4161338589725372,0.5324086705786613,0.11627481160612407,"[50, 53, 66]",100,10,elevation_func_1,100.0,10.0
0.4123799800872803,0.34132859505340285,0.37275267677059465,0.0314240817171918,"[29, 98, 94, 82]",100,15,elevation_func_1,100.0,15.0
0.38659095764160156,1.9940103239163478,2.004661067061332,0.010650743144984265,"[87, 52, 37, 28, 93]",100,20,elevation_func_1,100.0,20.0
0.36719512939453125,1.1889066071494214,1.5458695355208552,0.35696292837143373,"[1, 82, 17, 15]",100,25,elevation_func_1,100.0,25.0
0.40888428688049316,1.6036449712593892,1.8712629677952475,0.26761799653585827,"[70, 96, 78, 29, 37, 72]",100,30,elevation_func_1,100.0,30.0
0.37150096893310547,0.3425001005218342,1.6859826070991057,1.3434825065772715,"[17, 65, 97]",100,35,elevation_func_1,100.0,35.0
0.4401381015777588,0.2295187270716581,0.23915874786001545,0.00964002078835735,"[16, 76, 47]",100,40,elevation_func_1,100.0,40.0
0.40782809257507324,0.7496825710867414,2.7864551915203206,2.036772620433579,"[35, 73, 55]",100,45,elevation_func_1,100.0,45.0
0.3881089687347412,0.23432858394096812,0.7995095606113867,0.5651809766704186,"[39, 90, 97, 59]",100,50,elevation_func_1,100.0,50.0
